Repository,File Name,Class,Level,Start Line,Start Column,Stop Line,Stop Column
javascript-basic-projects,dataset/javascript-basic-projects/18-numbers/starter/app.js,arguments,A2,1,11,1,29
javascript-basic-projects,dataset/javascript-basic-projects/18-numbers/starter/app.js,stringLiteral,A1,1,12,1,12
javascript-basic-projects,dataset/javascript-basic-projects/18-numbers/final/app.js,comment,A1,6,2,6,24
javascript-basic-projects,dataset/javascript-basic-projects/18-numbers/final/app.js,comment,A1,20,2,20,31
javascript-basic-projects,dataset/javascript-basic-projects/18-numbers/final/app.js,varModifier,A1,1,0,1,0
javascript-basic-projects,dataset/javascript-basic-projects/18-numbers/final/app.js,variableDeclaration,A1,1,6,1,54
javascript-basic-projects,dataset/javascript-basic-projects/18-numbers/final/app.js,arrayLiteral,A1,1,14,1,54
javascript-basic-projects,dataset/javascript-basic-projects/18-numbers/final/app.js,elementList,A2,1,15,1,53
javascript-basic-projects,dataset/javascript-basic-projects/18-numbers/final/app.js,arguments,A2,1,43,1,53
javascript-basic-projects,dataset/javascript-basic-projects/18-numbers/final/app.js,stringLiteral,A1,1,44,1,44
javascript-basic-projects,dataset/javascript-basic-projects/18-numbers/final/app.js,varModifier,A1,3,0,3,0
javascript-basic-projects,dataset/javascript-basic-projects/18-numbers/final/app.js,variableDeclaration,A1,3,6,21,0
javascript-basic-projects,dataset/javascript-basic-projects/18-numbers/final/app.js,anonymousFunction,A1,3,20,21,0
javascript-basic-projects,dataset/javascript-basic-projects/18-numbers/final/app.js,arrowFunctionParameters,A1,3,20,3,23
javascript-basic-projects,dataset/javascript-basic-projects/18-numbers/final/app.js,formalParameterList,A1,3,21,3,21
javascript-basic-projects,dataset/javascript-basic-projects/18-numbers/final/app.js,varModifier,A1,4,2,4,2
javascript-basic-projects,dataset/javascript-basic-projects/18-numbers/final/app.js,variableDeclaration,A1,4,8,4,41
javascript-basic-projects,dataset/javascript-basic-projects/18-numbers/final/app.js,parseInt,A2,4,16,4,16
javascript-basic-projects,dataset/javascript-basic-projects/18-numbers/final/app.js,arguments,A2,4,24,4,41
javascript-basic-projects,dataset/javascript-basic-projects/18-numbers/final/app.js,valueProperty,C1,4,25,4,36
javascript-basic-projects,dataset/javascript-basic-projects/18-numbers/final/app.js,varModifier,A1,5,2,5,2
javascript-basic-projects,dataset/javascript-basic-projects/18-numbers/final/app.js,variableDeclaration,A1,5,8,5,42
javascript-basic-projects,dataset/javascript-basic-projects/18-numbers/final/app.js,Math,A1,5,20,5,20
javascript-basic-projects,dataset/javascript-basic-projects/18-numbers/final/app.js,arguments,A2,5,29,5,42
javascript-basic-projects,dataset/javascript-basic-projects/18-numbers/final/app.js,valueProperty,C1,5,30,5,30
javascript-basic-projects,dataset/javascript-basic-projects/18-numbers/final/app.js,varModifier,A1,7,2,7,2
javascript-basic-projects,dataset/javascript-basic-projects/18-numbers/final/app.js,variableDeclaration,A1,7,6,7,21
javascript-basic-projects,dataset/javascript-basic-projects/18-numbers/final/app.js,varModifier,A1,9,2,9,2
javascript-basic-projects,dataset/javascript-basic-projects/18-numbers/final/app.js,variableDeclaration,A1,9,8,19,6
javascript-basic-projects,dataset/javascript-basic-projects/18-numbers/final/app.js,arguments,A2,9,35,19,6
